"id","Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","imagens","item","Comments","block"
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",0,0,"instructions_A","NULL","PennController","0","_Trial_","Start","1648119072298","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",0,0,"instructions_A","NULL","PennController","0","_Header_","Start","1648119072298","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",0,0,"instructions_A","NULL","PennController","0","_Header_","End","1648119072298","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",0,0,"instructions_A","NULL","PennController","0","_Trial_","End","1648119076282","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",1,0,"instructions_B","NULL","PennController","1","_Trial_","Start","1648119076284","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",1,0,"instructions_B","NULL","PennController","1","_Header_","Start","1648119076284","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",1,0,"instructions_B","NULL","PennController","1","_Header_","End","1648119076285","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",1,0,"instructions_B","NULL","PennController","1","_Trial_","End","1648119077165","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",2,0,"instructions_C","NULL","PennController","2","_Trial_","Start","1648119077166","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",2,0,"instructions_C","NULL","PennController","2","_Header_","Start","1648119077166","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",2,0,"instructions_C","NULL","PennController","2","_Header_","End","1648119077166","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",2,0,"instructions_C","NULL","PennController","2","_Trial_","End","1648119077962","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",3,0,"instructions_D","NULL","PennController","3","_Trial_","Start","1648119077963","NULL",,,0
"LARISSA",1648119931,"ea4822a528ee3bb453e635d65811542e","PennController",3,0,"instructions_D","NULL","PennController","3","_Header_","Start","1648119077963","NULL",,,0
